text,created,favoriteCount,retweetCount,arr_dt,bounded,severity,alerts_at_station_code
#RedLine experiencing severe delays in both directions due to a switch problem at Alewife Station. #mbta,2016-03-24T11:57:28Z,0,0,2016-03-24T11:57:28Z,northbound_and_southbound,3,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
"Red Ln experiencing severe delays both ways. Customers can also use alternate Commuter Rail service at Braintree, Quincy Center, &amp; JFK/UMass",2016-03-24T12:03:00Z,0,1,2016-03-24T12:03:00Z,northbound_and_southbound,3,
"Red Ln experiencing moderate residual delays both ways. Customers can use alternate Commuter Rail service at Braintree, Quincy Center, &amp; JFK",2016-03-24T13:19:23Z,0,0,2016-03-24T13:19:23Z,northbound_and_southbound,0,
#RedLine experiencing minor residual delays in both directions due to an earlier switch problem at Alewife Station. #mbta,2016-03-24T13:27:24Z,0,0,2016-03-24T13:27:24Z,northbound_and_southbound,0,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing moderate delays due to an earlier disabled train at Park Street. #mbta,2016-03-24T21:37:09Z,1,0,2016-03-24T21:37:09Z,,2,"70075_Park Street - to Ashmont/Braintree, 70076_Park Street - to Alewife"
#RedLine experiencing minor delays due to medical emergency at Broadway. #mbta,2016-03-25T01:21:08Z,0,0,2016-03-25T01:21:08Z,,1,"70081_Broadway - Outbound, 70082_Broadway - Inbound"
#RedLine experiencing moderate northbound delays due to an ill person on a train at South Station #mbta,2016-03-26T00:00:37Z,0,0,2016-03-26T00:00:37Z,northbound,0,
#RedLine experiencing moderate delays due to a signal problem. #mbta,2016-03-26T17:41:46Z,0,0,2016-03-26T17:41:46Z,,2,
"Buses replacing #RedLine service between Alewife and Harvard Square Stations on April 2-3, 9-10, and 23-24 from start to end of service.",2016-03-27T11:15:34Z,0,0,2016-03-27T11:15:34Z,,0,
#RedLine experiencing minor southbound delays due to a disabled train at Porter Station. #mbta,2016-03-28T10:48:06Z,0,0,2016-03-28T10:48:06Z,southbound,0,70066_Porter - Outbound
#RedLine experiencing minor southbound delays due to a disabled train at Kendall/MIT Station. #mbta,2016-03-28T11:51:00Z,0,0,2016-03-28T11:51:00Z,southbound,0,"70071_Kendall/MIT - Inbound, 70072_Kendall/MIT - Outbound"
#RedLine experiencing minor northbound delays due to a medical emergency at South Station #mbta,2016-03-29T02:23:54Z,0,0,2016-03-29T02:23:54Z,northbound,0,
#RedLine experiencing moderate delays due to a signal problem at Alewife #mbta,2016-03-29T19:00:37Z,0,0,2016-03-29T19:00:37Z,,2,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine experiencing minor delays due to an earlier signal problem at Alewife #mbta,2016-03-29T20:06:03Z,0,0,2016-03-29T20:06:03Z,,1,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine Ashmont branch experiencing minor delays due to an earlier disabled train #mbta,2016-03-30T18:48:37Z,0,0,2016-03-30T18:48:37Z,,1,
#RedLine experiencing minor delays due to signal problem at Alewife. #mbta,2016-03-31T01:33:13Z,0,0,2016-03-31T01:33:13Z,,1,"70076_Park Street - to Alewife, 70078_Downtown Crossing - to Alewife"
#RedLine (Braintree branch) experiencing moderate northbound delays due to a disabled train at Braintree Station. #mbta,2016-03-31T21:11:28Z,0,0,2016-03-31T21:11:28Z,northbound,0,70096_JFK/UMASS Braintree - Inbound
Buses replacing Mattapan Trolley service between Central Avenue and Mattapan Stations on April 16-17 from start to end of service,2016-04-01T16:45:37Z,0,0,2016-04-01T16:45:37Z,,0,
#RedLine experiencing moderate delays due to a medical emergency at Harvard #mbta,2016-04-02T21:19:28Z,0,0,2016-04-02T21:19:28Z,,2,"70067_Harvard - Inbound, 70068_Harvard - Outbound"
#RedLine experiencing moderate delays due to an earlier medical emergency at Harvard #mbta,2016-04-02T22:11:41Z,0,0,2016-04-02T22:11:41Z,,2,"70067_Harvard - Inbound, 70068_Harvard - Outbound"
#RedLine experiencing moderate delays due to a disabled train at Kendall/MIT #mbta,2016-04-03T17:17:31Z,0,0,2016-04-03T17:17:31Z,,2,"70071_Kendall/MIT - Inbound, 70072_Kendall/MIT - Outbound"
#RedLine Braintree branch experiencing moderate northbound delays #mbta,2016-04-03T19:44:41Z,0,0,2016-04-03T19:44:41Z,northbound,0,
#RedLine (Ashmont branch) experiencing minor northbound delays. #mbta,2016-04-04T13:08:17Z,0,0,2016-04-04T13:08:17Z,northbound,0,
#RedLine experiencing minor southbound delays due to a signal problem at Porter Station. #mbta,2016-04-05T12:28:50Z,0,0,2016-04-05T12:28:50Z,southbound,0,70066_Porter - Outbound
"Braintree Station Garage Upper entrance accessible from Union Street ramp will be out of service starting the afternoon on Friday, April 8.",2016-04-07T16:22:19Z,0,0,2016-04-07T16:22:19Z,,0,
Buses replacing Mattapan Trolley service between Ashmont and Mattapan Stations on April 16-17 from start to end of service #mbta,2016-04-07T19:16:11Z,0,0,2016-04-07T19:16:11Z,,0,
#RedLine experiencing minor southbound delays due to police action #mbta,2016-04-08T02:31:39Z,0,0,2016-04-08T02:31:39Z,southbound,0,
#RedLine experiencing minor southbound delays due to disabled train #mbta,2016-04-08T11:35:04Z,2,3,2016-04-08T11:35:04Z,southbound,0,
#RedLine experiencing moderate southbound delays beginning at 7:42 AM due to disabled train #mbta,2016-04-08T11:49:15Z,1,1,2016-04-08T11:49:15Z,southbound,0,
#RedLine experiencing minor residual southbound delays due to an earlier disabled train. #mbta,2016-04-08T12:24:46Z,0,0,2016-04-08T12:24:46Z,southbound,0,
#RedLine experiencing minor delays due to disabled train at Park St. northbound. #mbta,2016-04-08T12:44:17Z,0,0,2016-04-08T12:44:17Z,northbound,1,
#RedLine experiencing moderate delays due to a disabled train at Charles/MGH #mbta,2016-04-08T20:16:57Z,0,0,2016-04-08T20:16:57Z,,2,"70073_Charles/MGH - Inbound, 70074_Charles/MGH - Outbound"
#RedLine Braintree branch experiencing minor northbound delays #mbta,2016-04-09T20:34:44Z,0,0,2016-04-09T20:34:44Z,northbound,0,
