screenName,id,text,created,favoriteCount,retweetCount
GreenLineAlerts,723164076449345536,#GreenLine E branch experiencing minor eastbound delays due to a disabled train at Brigham Circle Station. #mbta,2016-04-21T14:58:46Z,0,0
GreenLineAlerts,723118643744264192,#GreenLine E branch experiencing minor westbound delays due to a disabled train at Park Street Station. #mbta,2016-04-21T11:58:14Z,0,0
GreenLineAlerts,722879566038110208,#GreenLine continuing to experience moderate delays due to earlier Boston Fire Department activity between Copley and Hynes. #mbta,2016-04-20T20:08:13Z,0,0
GreenLineAlerts,722871960133378048,#GreenLine experiencing moderate delays due to Boston Fire Department activity between Copley and Hynes. #mbta,2016-04-20T19:38:00Z,0,0
GreenLineAlerts,722848740919390208,#GreenLine E branch service suspended between Brigham Cir and Heath St. Please use Route 39 bus for service between Brigham Cir and Heath St,2016-04-20T18:05:44Z,0,0
GreenLineAlerts,722613393941770240,#GreenLine B branch experiencing minor residual delays due to an earlier auto impeding service at Harvard Ave #mbta,2016-04-20T02:30:33Z,1,0
GreenLineAlerts,722609989462966272,#GreenLine B branch experiencing severe delays due to an auto impeding service at Harvard Ave #mbta,2016-04-20T02:17:01Z,1,1
GreenLineAlerts,722607432434888704,#GreenLine B branch experiencing moderate delays due to an auto impeding service at Harvard Ave #mbta,2016-04-20T02:06:51Z,0,0
GreenLineAlerts,722562754964516864,#GreenLine D branch experiencing minor eastbound delays due to an earlier disabled train #mbta,2016-04-19T23:09:20Z,0,0
GreenLineAlerts,722528324447268865,#GreenLine D branch experiencing minor delays due to a disabled train at Newton Centre #mbta,2016-04-19T20:52:31Z,0,0
GreenLineAlerts,722198539128979456,#GreenLine experiencing moderate delays due to a disabled train at Park Street #mbta,2016-04-18T23:02:04Z,0,0
GreenLineAlerts,722163268169699333,#GreenLine C branch and #GreenLine E branch experiencing minor delays due to earlier police action #mbta,2016-04-18T20:41:54Z,0,0
GreenLineAlerts,722157019780788224,#GreenLine C branch and #GreenLine E branch experiencing moderate delays due to police action #mbta,2016-04-18T20:17:05Z,0,0
GreenLineAlerts,722077989257814017,#GreenLine B branch experiencing minor westbound delays due to a disabled train at Warren Street Station. #mbta,2016-04-18T15:03:02Z,0,0
GreenLineAlerts,722054685235023872,#GreenLine experiencing moderate eastbound delays due to a disabled train at Haymarket Station. #mbta,2016-04-18T13:30:26Z,0,0
GreenLineAlerts,722008414126280705,#GreenLine C branch experiencing minor eastbound delays. #mbta,2016-04-18T10:26:34Z,0,0
GreenLineAlerts,721803382697160704,#GreenLine E branch experiencing minor delays #mbta,2016-04-17T20:51:51Z,0,0
GreenLineAlerts,721753373993734145,#GreenLine E service suspended between Brigham Cir and Heath St. Please use Route 39 bus for service between Brigham Cir and Heath St,2016-04-17T17:33:08Z,0,0
GreenLineAlerts,721468638922977280,#GreenLine experiencing minor delays due to disabled train #mbta,2016-04-16T22:41:42Z,0,0
GreenLineAlerts,721394655779241985,#GreenLine D branch experiencing minor delays due to earlier fire near Waban Station. #mbta,2016-04-16T17:47:43Z,0,0
GreenLineAlerts,721045727196155904,#GreenLine experiencing moderate delays due to a signal problem at Copley Station. #mbta,2016-04-15T18:41:12Z,0,0
GreenLineAlerts,721043676303110144,#GreenLine B branch and #GreenLine C branch experiencing minor delays due to a signal problem. #mbta,2016-04-15T18:33:03Z,0,0
GreenLineAlerts,721004025861304321,#GreenLine C branch experiencing minor eastbound delays due to a disabled train at Hynes Convention Center Station. #mbta,2016-04-15T15:55:30Z,0,0
GreenLineAlerts,720687175910731784,#GreenLine B branch experiencing minor delays due to a police action near Blandford Street Station. #mbta,2016-04-14T18:56:27Z,0,0
GreenLineAlerts,720665466952413184,#GreenLine C branch experiencing moderate delays due to a disabled train at Coolidge Corner Station. #mbta,2016-04-14T17:30:11Z,0,0
GreenLineAlerts,720374444842045440,#GreenLine C branch experiencing moderate delays due to a medical emergency at Summit Ave #mbta,2016-04-13T22:13:46Z,0,0
GreenLineAlerts,720358320561856513,#GreenLine E branch experiencing moderate delays due to a disabled train at Brigham Circle #mbta,2016-04-13T21:09:41Z,0,0
